id,issue_type,complaint_text,area,votes,attachments,priority_label
1,Garbage Dump,kachra bahut hai,Hazaribagh,3,5,Medium
2,Road Damage,Road damaged,Giridih,11,4,High
3,Pothole,Road broken badly,Giridih,71,1,High
4,Water Leakage,leakage of pani,Deoghar,89,3,High
5,Garbage Dump,Garbage not collected,Deoghar,48,0,High
6,Road Damage,road crack,Jamshedpur,15,3,Medium
7,Noise Pollution,Loud noise,Jamshedpur,24,5,Medium
8,Streetlight Not Working,Streetlight issue,Hazaribagh,12,3,High
9,Streetlight Not Working,Street dark at night,Jamshedpur,85,2,High
10,Electricity Outage,No electricity since morning,Bokaro,81,5,High
11,Pothole,Big pothole on road,Hazaribagh,40,3,Medium
12,Drainage Blockage,dirty water overflow,Chaibasa,27,5,High
13,Water Leakage,pipe se pani nikal raha hai,Hazaribagh,31,5,High
14,Water Leakage,Pipeline burst,Jamshedpur,65,3,High
15,Illegal Parking,Blocking road,Giridih,76,0,High
16,Road Damage,road crack,Jamshedpur,1,5,Medium
17,Water Leakage,Water leakage near colony,Hazaribagh,58,0,High
18,Road Damage,road crack,Dhanbad,77,1,Medium
19,Road Damage,bad road condition,Deoghar,0,4,High
20,Electricity Outage,Power cut in area,Bokaro,30,0,High
21,Road Damage,bad road condition,Dhanbad,98,1,Medium
22,Noise Pollution,Noise disturbing area,Bokaro,54,1,High
23,Road Damage,Sadak kharab hai,Bokaro,57,0,High
24,Noise Pollution,Loud noise,Jamshedpur,28,0,Medium
25,Garbage Dump,ganda kachra near market,Hazaribagh,65,1,Medium
26,Noise Pollution,high sound pollution,Bokaro,73,3,Medium
27,Illegal Parking,Blocking road,Giridih,45,3,High
28,Garbage Dump,Overflowing garbage,Deoghar,7,3,Medium
29,Illegal Parking,no parking followed,Chaibasa,23,2,Medium
30,Road Damage,Road damaged,Ranchi,12,0,Low
31,Public Toilet Issue,Toilet unclean,Giridih,61,1,High
32,Public Toilet Issue,Public toilet problem,Chaibasa,36,3,Medium
33,Road Damage,Road damaged,Deoghar,7,5,High
34,Road Damage,Sadak kharab hai,Jamshedpur,20,0,High
35,Illegal Parking,Cars parked illegally,Bokaro,15,4,Medium
